src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,iperf3_connections,iperf3_runtime,tag,stdout_path,stderr_path,throughput_sent,throughput_recieved,cpu_utilization,success
gcp:asia-southeast2-a,,,gcp:asia-east2-a,,,64,5,gcp:asia-southeast2-a:None_gcp:asia-east2-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-southeast2-a:None_gcp:asia-east2-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-southeast2-a:None_gcp:asia-east2-a:None.stderr,15126640000.0,14953830000.0,59.227771,True
gcp:us-west4-a,,,gcp:asia-northeast1-a,,,64,5,gcp:us-west4-a:None_gcp:asia-northeast1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-west4-a:None_gcp:asia-northeast1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-west4-a:None_gcp:asia-northeast1-a:None.stderr,5513143000.0,5378322000.0,41.402887,True
gcp:europe-west6-a,,,gcp:us-east1-b,,,64,5,gcp:europe-west6-a:None_gcp:us-east1-b:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:None_gcp:us-east1-b:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:None_gcp:us-east1-b:None.stderr,5661458000.0,5353019000.0,42.072386,True
gcp:us-west1-a,,,gcp:europe-west4-a,,,64,5,gcp:us-west1-a:None_gcp:europe-west4-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-west1-a:None_gcp:europe-west4-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-west1-a:None_gcp:europe-west4-a:None.stderr,4502122000.0,3867780000.0,35.824336,True
gcp:southamerica-east1-a,,,gcp:northamerica-northeast2-a,,,64,5,gcp:southamerica-east1-a:None_gcp:northamerica-northeast2-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:southamerica-east1-a:None_gcp:northamerica-northeast2-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:southamerica-east1-a:None_gcp:northamerica-northeast2-a:None.stderr,4070333000.0,3936452000.0,35.664131,True
gcp:northamerica-northeast1-a,,,gcp:asia-northeast2-a,,,64,5,gcp:northamerica-northeast1-a:None_gcp:asia-northeast2-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast1-a:None_gcp:asia-northeast2-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast1-a:None_gcp:asia-northeast2-a:None.stderr,7677361000.0,7412123000.0,31.975509,True
gcp:europe-west2-a,,,gcp:asia-southeast1-a,,,64,5,gcp:europe-west2-a:None_gcp:asia-southeast1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west2-a:None_gcp:asia-southeast1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west2-a:None_gcp:asia-southeast1-a:None.stderr,10727420000.0,7241431000.0,27.043832,True
gcp:us-east4-a,,,gcp:asia-south2-a,,,64,5,gcp:us-east4-a:None_gcp:asia-south2-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-east4-a:None_gcp:asia-south2-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-east4-a:None_gcp:asia-south2-a:None.stderr,10754390000.0,6676624000.0,24.557446,True
gcp:southamerica-west1-a,,,gcp:australia-southeast2-a,,,64,5,gcp:southamerica-west1-a:None_gcp:australia-southeast2-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:southamerica-west1-a:None_gcp:australia-southeast2-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:southamerica-west1-a:None_gcp:australia-southeast2-a:None.stderr,3317082000.0,2408621000.0,22.683054,True
gcp:asia-south1-a,,,gcp:us-central1-a,,,64,5,gcp:asia-south1-a:None_gcp:us-central1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-south1-a:None_gcp:us-central1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-south1-a:None_gcp:us-central1-a:None.stderr,4053919000.0,3159402000.0,23.29134,True
