src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,min_rtt,avg_rtt,max_rtt,mdev_rtt
gcp:europe-central2-a,PREMIUM,n2-standard-4,gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,,,,
gcp:europe-west4-a,PREMIUM,n2-standard-4,gcp:australia-southeast1-a,STANDARD,n2-standard-4,,,,
gcp:europe-north1-a,PREMIUM,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
gcp:asia-east1-a,STANDARD,n2-standard-4,gcp:us-east1-b,STANDARD,n2-standard-4,,,,
gcp:asia-east2-a,PREMIUM,n2-standard-4,gcp:asia-east2-a,STANDARD,n2-standard-4,,,,
gcp:australia-southeast1-a,PREMIUM,n2-standard-4,gcp:us-east4-a,STANDARD,n2-standard-4,,,,
azure:northcentralus,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,PREMIUM,n2-standard-4,92.327,92.548,92.702,0.117
aws:ap-south-1,PREMIUM,m5.large,gcp:europe-west1-b,PREMIUM,n2-standard-4,128.012,128.282,130.012,0.642
azure:eastus,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,PREMIUM,n2-standard-4,76.464,76.696,77.281,0.367
aws:ap-east-1,PREMIUM,m5.large,gcp:asia-northeast2-a,PREMIUM,n2-standard-4,63.023,63.12,63.261,0.258
azure:southafricanorth,PREMIUM,Standard_D2_v3,gcp:asia-northeast3-a,PREMIUM,n2-standard-4,364.66,364.828,365.22,0.562
azure:northeurope,PREMIUM,Standard_D2_v3,aws:eu-central-1,PREMIUM,m5.large,23.001,23.145,23.652,0.224
gcp:asia-northeast1-a,PREMIUM,n2-standard-4,gcp:southamerica-west1-a,PREMIUM,n2-standard-4,,,,
gcp:asia-south2-a,PREMIUM,n2-standard-4,gcp:southamerica-east1-a,PREMIUM,n2-standard-4,,,,
gcp:asia-south1-a,PREMIUM,n2-standard-4,gcp:europe-west3-a,PREMIUM,n2-standard-4,,,,
aws:us-west-2,PREMIUM,m5.large,aws:eu-west-2,PREMIUM,m5.large,133.415,133.46,133.668,0.467
