src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,iperf3_connections,iperf3_runtime,tag,stdout_path,stderr_path,throughput_sent,throughput_recieved,cpu_utilization,success
azure:uksouth,PREMIUM,Standard_D32_v4,aws:eu-south-1,PREMIUM,m5.8xlarge,64,5,azure:uksouth:PREMIUM_aws:eu-south-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:uksouth:PREMIUM_aws:eu-south-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:uksouth:PREMIUM_aws:eu-south-1:PREMIUM.stderr,9307217192.513214,9043348420.681627,14.990673015379722,True
azure:switzerlandnorth,PREMIUM,Standard_D32_v4,azure:westeurope,PREMIUM,Standard_D32_v4,64,5,azure:switzerlandnorth:PREMIUM_azure:westeurope:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:switzerlandnorth:PREMIUM_azure:westeurope:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:switzerlandnorth:PREMIUM_azure:westeurope:PREMIUM.stderr,15138280365.876877,14781438870.233034,20.959232326441075,True
aws:us-east-2,PREMIUM,m5.8xlarge,aws:us-west-2,PREMIUM,m5.8xlarge,64,5,aws:us-east-2:PREMIUM_aws:us-west-2:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:us-east-2:PREMIUM_aws:us-west-2:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:us-east-2:PREMIUM_aws:us-west-2:PREMIUM.stderr,4814179087.73193,4473556157.58165,8.169822969360446,True
azure:centralindia,PREMIUM,Standard_D32_v4,gcp:asia-southeast2-a,PREMIUM,n2-standard-32,64,5,azure:centralindia:PREMIUM_gcp:asia-southeast2-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:centralindia:PREMIUM_gcp:asia-southeast2-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:centralindia:PREMIUM_gcp:asia-southeast2-a:PREMIUM.stderr,9177377892.00617,8973705657.805346,12.613909584881828,True
azure:canadacentral,PREMIUM,Standard_D32_v4,aws:eu-central-1,PREMIUM,m5.8xlarge,64,5,azure:canadacentral:PREMIUM_aws:eu-central-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:canadacentral:PREMIUM_aws:eu-central-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:canadacentral:PREMIUM_aws:eu-central-1:PREMIUM.stderr,2471406147.352792,2224994245.740366,5.0740399959083895,True
gcp:australia-southeast1-a,PREMIUM,n2-standard-32,aws:ap-southeast-3,PREMIUM,m5.8xlarge,64,5,gcp:australia-southeast1-a:PREMIUM_aws:ap-southeast-3:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:australia-southeast1-a:PREMIUM_aws:ap-southeast-3:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:australia-southeast1-a:PREMIUM_aws:ap-southeast-3:PREMIUM.stderr,5605870000.0,5442398000.0,39.131561,True
gcp:northamerica-northeast1-a,PREMIUM,n2-standard-32,gcp:southamerica-east1-a,PREMIUM,n2-standard-32,64,5,gcp:northamerica-northeast1-a:PREMIUM_gcp:southamerica-east1-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast1-a:PREMIUM_gcp:southamerica-east1-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast1-a:PREMIUM_gcp:southamerica-east1-a:PREMIUM.stderr,5658982000.0,5549023000.0,35.06511,True
azure:northcentralus,PREMIUM,Standard_D32_v4,azure:swedencentral,PREMIUM,Standard_D32_v4,64,5,azure:northcentralus:PREMIUM_azure:swedencentral:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:northcentralus:PREMIUM_azure:swedencentral:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:northcentralus:PREMIUM_azure:swedencentral:PREMIUM.stderr,9774310004.9999,9492447545.842216,9.966910448215009,True
aws:us-west-1,PREMIUM,m5.8xlarge,azure:norwayeast,PREMIUM,Standard_D32_v4,64,5,aws:us-west-1:PREMIUM_azure:norwayeast:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:us-west-1:PREMIUM_azure:norwayeast:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:us-west-1:PREMIUM_azure:norwayeast:PREMIUM.stderr,3786997967.859745,3492045605.612963,4.308520979003571,True
aws:sa-east-1,PREMIUM,m5.8xlarge,azure:francecentral,PREMIUM,Standard_D32_v4,64,5,aws:sa-east-1:PREMIUM_azure:francecentral:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:sa-east-1:PREMIUM_azure:francecentral:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:sa-east-1:PREMIUM_azure:francecentral:PREMIUM.stderr,3575515793.3388343,3303448988.9738655,4.108426056688393,True
