src,dest,src_tier,dest_tier,cost
aws:af-south-1,aws:af-south-1,PREMIUM,PREMIUM,0.0
aws:af-south-1,aws:ap-east-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:ap-northeast-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:ap-northeast-2,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:ap-northeast-3,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:ap-south-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:ap-southeast-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:ap-southeast-2,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:ca-central-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:eu-central-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:eu-north-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:eu-south-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:eu-west-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:eu-west-2,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:eu-west-3,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:me-south-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:sa-east-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:us-east-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:us-east-2,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:us-west-1,PREMIUM,PREMIUM,0.147
aws:af-south-1,aws:us-west-2,PREMIUM,PREMIUM,0.147
aws:af-south-1,azure:australiaeast,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:canadacentral,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:eastus,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:eastus2,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:francecentral,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:germanywestcentral,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:japaneast,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:koreacentral,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:northcentralus,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:northeurope,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:uksouth,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:westeurope,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:westus,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:westus2,PREMIUM,PREMIUM,0.154
aws:af-south-1,azure:westus3,PREMIUM,PREMIUM,0.154
aws:af-south-1,gcp:asia-east1-a,PREMIUM,PREMIUM,0.154
aws:af-south-1,gcp:asia-east2-a,PREMIUM,PREMIUM,0.154
aws:af-south-1,gcp:asia-northeast1-a,PREMIUM,PREMIUM,0.154
aws:af-south-1,gcp:asia-northeast2-a,PREMIUM,PREMIUM,0.154
