src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,iperf3_connections,iperf3_runtime,tag,stdout_path,stderr_path,throughput_sent,throughput_recieved,cpu_utilization,success
aws:us-east-2,PREMIUM,m5.8xlarge,azure:eastus,PREMIUM,Standard_D32_v5,64,5,aws:us-east-2:PREMIUM_azure:eastus:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:us-east-2:PREMIUM_azure:eastus:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:us-east-2:PREMIUM_azure:eastus:PREMIUM.stderr,4967291935.167428,4739257059.661877,7.607115085867326,True
aws:us-west-2,PREMIUM,m5.8xlarge,gcp:us-west1-a,PREMIUM,n2-standard-32,64,5,aws:us-west-2:PREMIUM_gcp:us-west1-a:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:us-west-2:PREMIUM_gcp:us-west1-a:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:us-west-2:PREMIUM_gcp:us-west1-a:PREMIUM.stderr,5034809305.815715,4722406789.899842,7.311643245735606,True
azure:norwayeast,PREMIUM,Standard_D32_v5,aws:eu-north-1,PREMIUM,m5.8xlarge,64,5,azure:norwayeast:PREMIUM_aws:eu-north-1:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:norwayeast:PREMIUM_aws:eu-north-1:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:norwayeast:PREMIUM_aws:eu-north-1:PREMIUM.stderr,9637669912.403698,9403244964.106754,11.32638549468938,True
gcp:us-east4-a,PREMIUM,n2-standard-32,aws:us-east-1,PREMIUM,m5.8xlarge,64,5,gcp:us-east4-a:PREMIUM_aws:us-east-1:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/gcp:us-east4-a:PREMIUM_aws:us-east-1:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/gcp:us-east4-a:PREMIUM_aws:us-east-1:PREMIUM.stderr,7186312674.246793,7094779276.409239,11.545877000747057,True
aws:eu-central-2,PREMIUM,m5.8xlarge,aws:eu-west-2,PREMIUM,m5.8xlarge,64,5,aws:eu-central-2:PREMIUM_aws:eu-west-2:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:eu-central-2:PREMIUM_aws:eu-west-2:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:eu-central-2:PREMIUM_aws:eu-west-2:PREMIUM.stderr,4988631015.088796,4706553196.777927,7.126315755631145,True
gcp:europe-west3-a,PREMIUM,n2-standard-32,azure:germanywestcentral,PREMIUM,Standard_D32_v5,64,5,gcp:europe-west3-a:PREMIUM_azure:germanywestcentral:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/gcp:europe-west3-a:PREMIUM_azure:germanywestcentral:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/gcp:europe-west3-a:PREMIUM_azure:germanywestcentral:PREMIUM.stderr,7221528801.239648,7104165220.20083,14.643493413762986,True
azure:westeurope,PREMIUM,Standard_D32_v5,aws:eu-south-2,PREMIUM,m5.8xlarge,64,5,azure:westeurope:PREMIUM_aws:eu-south-2:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:westeurope:PREMIUM_aws:eu-south-2:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:westeurope:PREMIUM_aws:eu-south-2:PREMIUM.stderr,9556018142.659348,9017918127.427229,8.711904135050549,True
azure:southcentralus,PREMIUM,Standard_D32_v5,gcp:us-west4-a,PREMIUM,n2-standard-32,64,5,azure:southcentralus:PREMIUM_gcp:us-west4-a:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:southcentralus:PREMIUM_gcp:us-west4-a:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:southcentralus:PREMIUM_gcp:us-west4-a:PREMIUM.stderr,15019010791.15612,14005569063.477425,11.80545619162355,True
gcp:europe-west6-a,PREMIUM,n2-standard-32,gcp:europe-west1-b,PREMIUM,n2-standard-32,64,5,gcp:europe-west6-a:PREMIUM_gcp:europe-west1-b:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:PREMIUM_gcp:europe-west1-b:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:PREMIUM_gcp:europe-west1-b:PREMIUM.stderr,32005022045.28573,30836934496.358074,26.106935833827826,True
gcp:asia-northeast2-a,PREMIUM,n2-standard-32,azure:eastasia,PREMIUM,Standard_D32_v5,64,5,gcp:asia-northeast2-a:PREMIUM_azure:eastasia:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/gcp:asia-northeast2-a:PREMIUM_azure:eastasia:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/gcp:asia-northeast2-a:PREMIUM_azure:eastasia:PREMIUM.stderr,7208955256.9543705,6322692150.657597,5.846461066000925,True
azure:eastus2,PREMIUM,Standard_D32_v5,aws:us-west-1,PREMIUM,m5.8xlarge,64,5,azure:eastus2:PREMIUM_aws:us-west-1:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:eastus2:PREMIUM_aws:us-west-1:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:eastus2:PREMIUM_aws:us-west-1:PREMIUM.stderr,3620752517.448644,3088046184.654883,4.3222055745878265,True
azure:uaenorth,PREMIUM,Standard_D32_v5,aws:ap-southeast-1,PREMIUM,m5.8xlarge,64,5,azure:uaenorth:PREMIUM_aws:ap-southeast-1:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:uaenorth:PREMIUM_aws:ap-southeast-1:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/azure:uaenorth:PREMIUM_aws:ap-southeast-1:PREMIUM.stderr,3188747528.1524034,2829714848.749688,4.094379559191881,True
aws:me-south-1,PREMIUM,m5.8xlarge,aws:eu-west-3,PREMIUM,m5.8xlarge,64,5,aws:me-south-1:PREMIUM_aws:eu-west-3:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:me-south-1:PREMIUM_aws:eu-west-3:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:me-south-1:PREMIUM_aws:eu-west-3:PREMIUM.stderr,4914230557.898267,4235962554.8635054,5.3630286922078545,True
aws:ca-central-1,PREMIUM,m5.8xlarge,aws:eu-central-1,PREMIUM,m5.8xlarge,64,5,aws:ca-central-1:PREMIUM_aws:eu-central-1:PREMIUM,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:ca-central-1:PREMIUM_aws:eu-central-1:PREMIUM.stdout,/Users/shuL/Documents/Projects/copy/Provision/skyplane/data/logs/throughput_grid/2022.11.28_22.37_boa-oxidize-versace-prim_5s_64c/raw_iperf3_logs/aws:ca-central-1:PREMIUM_aws:eu-central-1:PREMIUM.stderr,5050835602.26345,4142594766.8926563,5.84382283882986,True
