src,dst,cost
us-gov-east-1,internet,0.155
us-gov-east-1,af-south-1,0.03
us-gov-east-1,ap-east-1,0.03
us-gov-east-1,ap-southeast-3,0.03
us-gov-east-1,ap-south-1,0.03
us-gov-east-1,ap-northeast-3,0.03
us-gov-east-1,ap-northeast-2,0.03
us-gov-east-1,ap-southeast-1,0.03
us-gov-east-1,ap-southeast-2,0.03
us-gov-east-1,ap-northeast-1,0.03
us-gov-east-1,ca-central-1,0.03
us-gov-east-1,eu-central-1,0.03
us-gov-east-1,eu-west-1,0.03
us-gov-east-1,eu-west-2,0.03
us-gov-east-1,eu-south-1,0.03
us-gov-east-1,eu-west-3,0.03
us-gov-east-1,eu-south-2,0.03
us-gov-east-1,eu-north-1,0.03
us-gov-east-1,eu-central-2,0.03
us-gov-east-1,me-south-1,0.03
us-gov-east-1,me-central-1,0.03
us-gov-east-1,sa-east-1,0.03
us-gov-east-1,us-east-1,0.03
us-gov-east-1,us-east-2,0.03
us-gov-east-1,us-west-1,0.03
us-gov-east-1,us-west-2,0.03
af-south-1,internet,0.154
af-south-1,us-gov-east-1,0.147
af-south-1,ap-east-1,0.147
af-south-1,ap-southeast-3,0.147
af-south-1,ap-south-1,0.147
af-south-1,ap-northeast-3,0.147
af-south-1,ap-northeast-2,0.147
af-south-1,ap-southeast-1,0.147
af-south-1,ap-southeast-2,0.147
af-south-1,ap-northeast-1,0.147
af-south-1,ca-central-1,0.147
af-south-1,eu-central-1,0.147
af-south-1,eu-west-1,0.147
af-south-1,eu-west-2,0.147
af-south-1,eu-south-1,0.147
af-south-1,eu-west-3,0.147
af-south-1,eu-south-2,0.147
af-south-1,eu-north-1,0.147
af-south-1,eu-central-2,0.147
af-south-1,me-south-1,0.147
af-south-1,me-central-1,0.147
af-south-1,sa-east-1,0.147
af-south-1,us-east-1,0.147
af-south-1,us-east-2,0.147
af-south-1,us-west-1,0.147
af-south-1,us-west-2,0.147
ap-east-1,internet,0.12
ap-east-1,us-gov-east-1,0.09
ap-east-1,af-south-1,0.09
ap-east-1,ap-southeast-3,0.09
ap-east-1,ap-south-1,0.09
ap-east-1,ap-northeast-3,0.09
ap-east-1,ap-northeast-2,0.09
ap-east-1,ap-southeast-1,0.09
ap-east-1,ap-southeast-2,0.09
ap-east-1,ap-northeast-1,0.09
ap-east-1,ca-central-1,0.09
ap-east-1,eu-central-1,0.09
ap-east-1,eu-west-1,0.09
ap-east-1,eu-west-2,0.09
ap-east-1,eu-south-1,0.09
ap-east-1,eu-west-3,0.09
ap-east-1,eu-south-2,0.09
ap-east-1,eu-north-1,0.09
ap-east-1,eu-central-2,0.09
ap-east-1,me-south-1,0.09
ap-east-1,me-central-1,0.09
ap-east-1,sa-east-1,0.09
ap-east-1,us-east-1,0.09
ap-east-1,us-east-2,0.09
ap-east-1,us-west-1,0.09
ap-east-1,us-west-2,0.09
ap-southeast-3,internet,0.132
ap-southeast-3,us-gov-east-1,0.1
ap-southeast-3,af-south-1,0.1
ap-southeast-3,ap-east-1,0.1
ap-southeast-3,ap-south-1,0.1
ap-southeast-3,ap-northeast-2,0.1
ap-southeast-3,ap-southeast-1,0.1
ap-southeast-3,ap-southeast-2,0.1
ap-southeast-3,ap-northeast-1,0.1
ap-southeast-3,ca-central-1,0.1
ap-southeast-3,eu-central-1,0.1
ap-southeast-3,eu-west-1,0.1
ap-southeast-3,eu-west-2,0.1
ap-southeast-3,eu-south-1,0.1
ap-southeast-3,eu-west-3,0.1
ap-southeast-3,eu-south-2,0.1
ap-southeast-3,eu-north-1,0.1
ap-southeast-3,eu-central-2,0.1
ap-southeast-3,me-south-1,0.1
ap-southeast-3,me-central-1,0.1
ap-southeast-3,us-east-1,0.1
ap-southeast-3,us-east-2,0.1
ap-southeast-3,us-west-1,0.1
ap-southeast-3,us-west-2,0.1
ap-south-1,internet,0.1093
ap-south-1,us-gov-east-1,0.086
ap-south-1,af-south-1,0.086
ap-south-1,ap-east-1,0.086
ap-south-1,ap-southeast-3,0.086
ap-south-1,ap-northeast-3,0.086
ap-south-1,ap-northeast-2,0.086
ap-south-1,ap-southeast-1,0.086
ap-south-1,ap-southeast-2,0.086
ap-south-1,ap-northeast-1,0.086
ap-south-1,ca-central-1,0.086
ap-south-1,eu-central-1,0.086
ap-south-1,eu-west-1,0.086
ap-south-1,eu-west-2,0.086
ap-south-1,eu-south-1,0.086
ap-south-1,eu-west-3,0.086
ap-south-1,eu-south-2,0.086
ap-south-1,eu-north-1,0.086
ap-south-1,eu-central-2,0.086
ap-south-1,me-south-1,0.086
ap-south-1,me-central-1,0.086
ap-south-1,sa-east-1,0.086
ap-south-1,us-east-1,0.086
ap-south-1,us-east-2,0.086
ap-south-1,us-west-1,0.086
ap-south-1,us-west-2,0.086
ap-northeast-3,internet,0.114
ap-northeast-3,us-gov-east-1,0.09
ap-northeast-3,af-south-1,0.09
ap-northeast-3,ap-east-1,0.09
ap-northeast-3,ap-southeast-3,0.09
ap-northeast-3,ap-south-1,0.09
ap-northeast-3,ap-northeast-2,0.09
ap-northeast-3,ap-southeast-1,0.09
ap-northeast-3,ap-southeast-2,0.09
ap-northeast-3,ap-northeast-1,0.09
ap-northeast-3,ca-central-1,0.09
ap-northeast-3,eu-central-1,0.09
ap-northeast-3,eu-west-1,0.09
ap-northeast-3,eu-west-2,0.09
ap-northeast-3,eu-south-1,0.09
ap-northeast-3,eu-west-3,0.09
ap-northeast-3,eu-south-2,0.09
ap-northeast-3,eu-north-1,0.09
ap-northeast-3,eu-central-2,0.09
ap-northeast-3,me-south-1,0.09
ap-northeast-3,me-central-1,0.09
ap-northeast-3,sa-east-1,0.09
ap-northeast-3,us-east-1,0.09
ap-northeast-3,us-east-2,0.09
ap-northeast-3,us-west-1,0.09
ap-northeast-3,us-west-2,0.09
ap-northeast-2,internet,0.126
ap-northeast-2,us-gov-east-1,0.08
ap-northeast-2,af-south-1,0.08
ap-northeast-2,ap-east-1,0.08
ap-northeast-2,ap-southeast-3,0.08
ap-northeast-2,ap-south-1,0.08
ap-northeast-2,ap-northeast-3,0.08
ap-northeast-2,ap-southeast-1,0.08
ap-northeast-2,ap-southeast-2,0.08
ap-northeast-2,ap-northeast-1,0.08
ap-northeast-2,ca-central-1,0.08
ap-northeast-2,eu-central-1,0.08
ap-northeast-2,eu-west-1,0.08
ap-northeast-2,eu-west-2,0.08
ap-northeast-2,eu-south-1,0.08
ap-northeast-2,eu-west-3,0.08
ap-northeast-2,eu-south-2,0.08
ap-northeast-2,eu-north-1,0.08
ap-northeast-2,eu-central-2,0.08
ap-northeast-2,me-south-1,0.08
