instance_name,cloud_provider,vcpu_cost
m5.8xlarge,aws,32
m5.12xlarge,aws,48
m5.24xlarge,aws,96
m5.xlarge,aws,4
m5.4xlarge,aws,16
m5.large,aws,2
m5.2xlarge,aws,8
m5.16xlarge,aws,64
n2-standard-128,gcp,128
n2-standard-96,gcp,96
n2-standard-80,gcp,80
n2-standard-64,gcp,64
n2-standard-48,gcp,48
n2-standard-32,gcp,32
n2-standard-16,gcp,16
n2-standard-8,gcp,8
n2-standard-4,gcp,4
n2-standard-2,gcp,2
Standard_D96_v5,azure,96
Standard_D64_v5,azure,64
Standard_D48_v5,azure,48
Standard_D32_v5,azure,32
Standard_D16_v5,azure,16
Standard_D8_v5,azure,8
Standard_D4_v5,azure,4
Standard_D2_v5,azure,2
h1v96m384,scp,96
h1v64m256,scp,64
h1v48m192,scp,48
h1v32m128,scp,32
s1v16m64,scp,16
s1v8m32,scp,8
s1v4m16,scp,4
s1v2m8,scp,2
